From Point,To Point,Distance (km),Fare (BDT)
Rampura,Rampura,0,0
Rampura,Badda,3.1,10
Rampura,Notun Bazar,4.5,11
Rampura,Kuril Bishwaroad,7.2,18
Rampura,Khilkhet,9,22
Rampura,Airport,11.7,29
Rampura,House Building,14.5,36
Rampura,Diabari,18.2,45
Badda,Badda,0,0
Badda,Notun Bazar,1.4,10
Badda,Kuril Bishwaroad,4.1,10
Badda,Khilkhet,5.9,14
Badda,Airport,8.6,21
Badda,House Building,11.4,28
Badda,Diabari,15.1,37
Notun Bazar,Notun Bazar,0,0
Notun Bazar,Kuril Bishwaroad,2.7,10
Notun Bazar,Khilkhet,4.5,11
Notun Bazar,Airport,7.2,18
Notun Bazar,House Building,10,25
Notun Bazar,Diabari,13.7,34
Kuril Bishwaroad,Kuril Bishwaroad,0,0
Kuril Bishwaroad,Khilkhet,1.8,10
Kuril Bishwaroad,Airport,4.5,11
Kuril Bishwaroad,House Building,7.3,18
Kuril Bishwaroad,Diabari,11,27
Khilkhet,Khilkhet,0,0
Khilkhet,Airport,2.7,10
Khilkhet,House Building,5.5,13
Khilkhet,Diabari,9.2,23
Airport,Airport,0,0
Airport,House Building,2.8,10
Airport,Diabari,6.5,16
House Building,House Building,0,0
House Building,Diabari,3.7,10
Diabari,Diabari,0,0
Chiriyakhana,Chiriyakhana,0,0
Chiriyakhana,Mirpur-1,1.8,10
Chiriyakhana,Technical,3.8,10
Chiriyakhana,Asadgate,7.4,18
Chiriyakhana,Science Lab,9.9,24
Chiriyakhana,Azimpur,12.5,31
Chiriyakhana,Chankharpul,16.1,39
Chiriyakhana,Phulbaria,17.7,43
Chiriyakhana,Nayabazar,18.9,46
Chiriyakhana,Babu Bazar Bridge,20.2,49
Chiriyakhana,Kadam Toli,21.5,53
Chiriyakhana,Konakhola,26.3,64
Chiriyakhana,Rohitpur,30.5,75
Chiriyakhana,Tokorpur,38.6,95
Chiriyakhana,Komorganj,51.2,125
Chiriyakhana,Bandura,52.2,128
Chiriyakhana,Khayshakhali Beribadh,53.8,132
Mirpur-1,Mirpur-1,0,0
Mirpur-1,Technical,2,10
Mirpur-1,Asadgate,5.6,14
Mirpur-1,Science Lab,8.1,20
Mirpur-1,Azimpur,10.7,26
Mirpur-1,Chankharpul,14.3,35
Mirpur-1,Phulbaria,15.9,39
Mirpur-1,Nayabazar,17.1,42
Mirpur-1,Babu Bazar Bridge,18.4,45
Mirpur-1,Kadam Toli,19.7,48
Mirpur-1,Konakhola,24.5,60
Mirpur-1,Rohitpur,28.7,70
Mirpur-1,Tokorpur,36.8,90
Mirpur-1,Komorganj,49.4,121
Mirpur-1,Bandura,50.4,124
Mirpur-1,Khayshakhali Beribadh,52,127
Technical,Technical,0,0
Technical,Asadgate,3.6,10
Technical,Science Lab,6.1,15
Technical,Azimpur,8.7,21
Technical,Chankharpul,12.3,30
Technical,Phulbaria,13.9,34
Technical,Nayabazar,15.1,37
Technical,Babu Bazar Bridge,16.4,40
Technical,Kadam Toli,17.7,43
Technical,Konakhola,22.5,55
Technical,Rohitpur,26.7,65
Technical,Tokorpur,34.8,85
Technical,Komorganj,47.4,116
Technical,Bandura,48.4,119
Technical,Khayshakhali Beribadh,50,123
Asadgate,Asadgate,0,0
Asadgate,Science Lab,2.5,10
Asadgate,Azimpur,5.1,12
Asadgate,Chankharpul,8.7,21
Asadgate,Phulbaria,10.3,25
Asadgate,Nayabazar,11.5,28
Asadgate,Babu Bazar Bridge,12.8,31
Asadgate,Kadam Toli,14.1,35
Asadgate,Konakhola,18.9,46
Asadgate,Rohitpur,23.1,57
